Title,Release Date,Genre,Revenue,Budget
The Secret World of Arrietty,2012-02-17,Adventure,23000000.0,145600000.0
The Shallows,2016-06-21,Horror,17000000.0,93200000.0
The Signal,2014-01-20,Sci-Fi,4000000.0,2420000.0
The Single Moms Club,2014-03-14,Comedy,8000000.0,16300000.0
The Smurfs 2,2013-07-31,Adventure,105000000.0,347500000.0
The Spectacular Now,2013-08-02,Drama,2500000.0,6900000.0
The SpongeBob Movie: Sponge Out of Water,2015-02-06,Adventure,74000000.0,323400000.0
The Sweet Escape,2015-06-10,Comedy,3800000.0,3300000.0
The Theory of Everything,2014-09-07,Biography,15000000.0,123700000.0
The Three Stooges,2012-04-13,Comedy,30000000.0,54800000.0
The Transporter Refueled,2015-09-04,Action,25000000.0,72600000.0
The Twilight Saga: Breaking Dawn – Part 2,2012-11-16,Fantasy,120000000.0,829700000.0
The Vatican Tapes,2015-07-25,Horror,13000000.0,13500000.0
The Visit,2015-09-08,Horror,5000000.0,98500000.0
The Walk,2015-09-30,Biography,45000000.0,61200000.0
The Watch,2012-07-27,Comedy,68000000.0,68300000.0
The Water Diviner,2014-12-26,Drama,22500000.0,30800000.0
"The Way, Way Back",2013-07-05,Comedy,5000000.0,5000000.0
The Wedding Ringer,2015-01-16,Romance,23000000.0,79800000.0
The Witch,2016-01-27,Horror,3000000.0,40400000.0
The Wolverine,2013-07-24,Action,120000000.0,414800000.0
The Woman in Black,2012-02-03,Horror,15000000.0,128500000.0
The Woman in Black: Angel of Death,2014-12-30,Horror,15000000.0,48900000.0
The World's End,2013-07-19,Comedy,20000000.0,46100000.0
The Young Messiah,2016-03-11,Drama,18500000.0,7200000.0
Think Like a Man,2012-04-20,Comedy,12000000.0,96100000.0
This Is the End,2013-06-12,Comedy,32000000.0,126000000.0
This Is Where I Leave You,2014-09-19,Comedy,19800000.0,41300000.0
This Means War,2012-02-17,Action,65000000.0,156500000.0
Top Five,2014-09-06,Comedy,12000000.0,26100000.0
Top Gun 3D,2013-02-08,Action,15000000.0,356800000.0
Total Recall,2012-08-03,Action,125000000.0,198500000.0
Trance,2013-03-27,Crime,20000000.0,24300000.0
Transcendence,2014-04-10,Sci-Fi,100000000.0,103000000.0
Triple 9,2016-02-16,Crime,20000000.0,23400000.0
Trouble with the Curve,2012-09-21,Drama,60000000.0,49000000.0
Trumbo,2015-09-12,Drama,15000000.0,8200000.0
Truth,2015-09-12,Drama,9600000.0,5400000.0
Turbo,2013-07-17,Comedy,127000000.0,282600000.0
Tusk,2014-09-06,Horror,3000000.0,1900000.0
Unbroken,2014-11-17,Drama,65000000.0,163400000.0
Unfinished Business,2015-03-06,Comedy,35000000.0,14400000.0
Unfriended,2014-07-20,Horror,1000000.0,64100000.0
Vacation,2015-07-29,Adventure,31000000.0,104900000.0
Vampire Academy,2014-02-07,Action,30000000.0,15400000.0
Veronica Mars,2014-03-14,Mystery,6000000.0,3500000.0
Victor Frankenstein,2015-11-25,Horror,40000000.0,34200000.0
Wanderlust,2012-02-24,Comedy,35000000.0,24200000.0
War Dogs,2016-08-19,Crime,40000000.0,42700000.0
War Room,2015-08-28,Drama,3000000.0,73700000.0
Warcraft,2016-06-10,Action,160000000.0,433500000.0
Warm Bodies,2013-02-01,Comedy,35000000.0,117000000.0
What Maisie Knew,2013-05-03,Drama,5000000.0,2700000.0
What to Expect When You're Expecting,2012-05-18,Comedy,40000000.0,84400000.0
When the Game Stands Tall,2014-08-04,Religious,15000000.0,30100000.0
Whiplash,2014-01-16,Drama,3300000.0,49000000.0
Whiskey Tango Foxtrot,2016-03-04,Drama,35000000.0,24900000.0
White House Down,2013-06-28,Action,150000000.0,205000000.0
Wild,2014-08-29,Drama,15000000.0,52500000.0
Winter's Tale,2014-02-13,Drama,60000000.0,31100000.0
Wish I Was Here,2014-01-18,Drama,6000000.0,5500000.0
Woman in Gold,2015-04-01,Drama,11000000.0,61600000.0
Won't Back Down,2012-09-28,Drama,19000000.0,5400000.0
Woodlawn,2015-10-16,Drama,13000000.0,14400000.0
World War Z,2013-06-21,Action,190000000.0,540000000.0
Wrath of the Titans,2012-03-30,Action,150000000.0,305300000.0
X-Men: Apocalypse,2016-05-09,Action,178000000.0,544600000.0
X-Men: Days of Future Past,2014-05-10,Action,200000000.0,747900000.0
You're Next,2013-08-23,Horror,1000000.0,26800000.0
Zero Dark Thirty,2012-12-19,Drama,40000000.0,132800000.0
Zhong Kui: Snow Girl and the Dark Crystal,2015-02-19,Romance,30000000.0,64470000.0
Zoolander 2,2016-02-12,Comedy,50000000.0,56000000.0
