Title,Release Date,Genre,Revenue,Budget
Entourage,2015-05-27,Comedy,39000000.0,49300000.0
Epic,2013-05-24,Adventure,93000000.0,268400000.0
Escape from Planet Earth,2013-02-15,Comedy,40000000.0,74600000.0
Evil Dead,2013-04-05,Horror,17000000.0,97500000.0
Ex Machina,2015-01-21,Sci-Fi,15000000.0,36900000.0
Eye in the Sky,2015-09-11,Thriller,13000000.0,32800000.0
Fantastic Four,2015-08-04,Action,120000000.0,168000000.0
Fast & Furious 6,2013-05-17,Action,160000000.0,788700000.0
Flight,2012-11-02,Drama,31000000.0,161800000.0
Florence Foster Jenkins,2016-04-27,Biography,19000000.0,31700000.0
Frances Ha,2013-05-17,Drama,3000000.0,11300000.0
Free State of Jones,2016-06-16,Drama,50000000.0,21200000.0
Friends with Kids,2012-03-09,Comedy,10000000.0,12200000.0
Fun Size,2012-10-26,Comedy,14000000.0,11400000.0
Fury,2014-10-15,Action,68000000.0,211800000.0
G.I. Joe: Retaliation,2013-03-27,Action,130000000.0,375700000.0
Gangster Squad,2013-01-11,Action,75000000.0,105200000.0
Get Hard,2015-03-27,Comedy,40000000.0,111800000.0
Get on Up,2014-08-01,Drama,30000000.0,33400000.0
Getaway,2013-08-30,Action,18000000.0,11800000.0
Ghost Rider: Spirit of Vengeance,2012-02-17,Action,57000000.0,132600000.0
Ghostbusters,2016-07-15,Comedy,144000000.0,217500000.0
God's Not Dead,2014-03-21,Religious,2000000.0,62600000.0
God's Not Dead 2,2016-04-01,Religious,5000000.0,23500000.0
Gods of Egypt,2016-02-25,Action,140000000.0,145700000.0
Godzilla,2014-05-08,Action,160000000.0,529000000.0
Gone Girl,2014-09-26,Mystery,61000000.0,369300000.0
Good Deeds,2012-02-24,Romance,14000000.0,35600000.0
Goosebumps,2015-10-05,Action,84000000.0,150200000.0
Grown Ups 2,2013-07-12,Comedy,80000000.0,247000000.0
"Hail, Caesar!",2016-02-05,Comedy,22000000.0,22000000.0
Hands of Stone,2016-08-26,Biography,20000000.0,1700000.0
Hansel and Gretel: Witch Hunters,2013-01-17,Action,50000000.0,226300000.0
Heaven Is for Real,2014-04-16,Religious,12000000.0,101300000.0
Here Comes the Boom,2012-10-12,Comedy,42000000.0,73100000.0
Hit and Run,2012-08-22,Action,2000000.0,14500000.0
Hitman: Agent 47,2015-08-21,Action,35000000.0,82300000.0
Home,2015-03-07,Animation,135000000.0,386000000.0
Hope Springs,2012-08-08,Romance,30000000.0,114300000.0
Horrible Bosses 2,2014-11-26,Comedy,57000000.0,107700000.0
Hot Pursuit,2015-05-08,Action,35000000.0,51700000.0
Hotel Transylvania,2012-09-28,Fantasy,85000000.0,358400000.0
Hotel Transylvania 2,2015-09-25,Fantasy,80000000.0,473000000.0
How to Train Your Dragon 2,2014-05-16,Family,145000000.0,621500000.0
I,2015-01-14,Romance,15000000.0,65000000.0
I Saw the Light,2015-09-11,Drama,13000000.0,2600000.0
Ice Age: Collision Course,2016-07-22,Adventure,105000000.0,368300000.0
Ice Age: Continental Drift,2012-07-13,Adventure,95000000.0,877000000.0
Identity Thief,2013-02-08,Action,35000000.0,174000000.0
If I Stay,2014-08-18,Drama,11000000.0,78900000.0
In the Heart of the Sea,2015-12-11,Biography,100000000.0,93900000.0
Independence Day: Resurgence,2016-06-20,Action,165000000.0,382300000.0
Insidious: Chapter 2,2013-09-13,Horror,5000000.0,161900000.0
Insidious: Chapter 3,2015-06-05,Horror,11000000.0,113000000.0
Interstellar,2014-10-26,Sci-Fi,165000000.0,675100000.0
Into the Storm,2014-08-08,Adventure,50000000.0,161700000.0
Iron Sky,2012-07-25,Comedy,7500000.0,8100000.0
Irrational Man,2015-05-16,Mystery,11000000.0,27400000.0
Jack Reacher,2012-12-21,Action,60000000.0,218300000.0
Jack Ryan: Shadow Recruit,2014-01-15,Action,60000000.0,135500000.0
Jane Got a Gun,2016-01-29,Action,25000000.0,3000000.0
Jason Bourne,2016-07-29,Action,120000000.0,347900000.0
"Jeff, Who Lives at Home",2012-03-16,Comedy,7500000.0,7500000.0
Jem and the Holograms,2015-10-23,Musical,5000000.0,2300000.0
Jersey Boys,2014-06-05,Drama,58600000.0,67700000.0
Jobs,2013-08-16,Biography,12000000.0,35900000.0
John Wick,2014-10-13,Action,20000000.0,86000000.0
Journey 2: The Mysterious Island,2012-02-10,Adventure,79000000.0,335300000.0
Joy,2015-12-25,Comedy,60000000.0,101100000.0
Keanu,2016-04-29,Comedy,15000000.0,20700000.0
Kill the Messenger,2014-10-10,Crime,5000000.0,2500000.0
Killing Them Softly,2012-11-30,Crime,15000000.0,37900000.0
Kingsman: The Secret Service,2014-12-13,Action,94000000.0,414400000.0
Krampus,2015-12-04,Horror,15000000.0,61500000.0
Kubo and the Two Strings,2016-08-19,Fantasy,60000000.0,27600000.0
Kung Fu Panda 3,2016-01-23,Action,145000000.0,519900000.0
Lazer Team,2016-01-27,Sci-Fi,2400000.0,1600000.0
Left Behind,2014-10-03,Religious,16000000.0,27600000.0
Les Misérables,2012-12-25,Musical,61000000.0,441800000.0
Let's Be Cops,2014-08-13,Action,17000000.0,138200000.0
Life of Pi,2012-11-21,Drama,120000000.0,609000000.0
Lights Out,2016-07-22,Horror,4900000.0,125900000.0
Lincoln,2012-11-09,Drama,65000000.0,275300000.0
Little Boy,2015-04-24,Drama,20000000.0,17500000.0
Lockout,2012-04-13,Action,20000000.0,32200000.0
London Has Fallen,2016-03-04,Action,60000000.0,195700000.0
Looper,2012-09-28,Action,30000000.0,176500000.0
Love the Coopers,2015-11-04,Romance,24000000.0,41100000.0
Lucy,2014-07-25,Sci-Fi,40000000.0,463400000.0
Mad Max: Fury Road,2015-05-07,Action,150000000.0,378400000.0
Madagascar 3: Europe's Most Wanted,2012-06-08,Comedy,145000000.0,746900000.0
Magic in the Moonlight,2014-07-25,Comedy,16800000.0,51000000.0
Mama,2013-01-18,Horror,15000000.0,146400000.0
Man of Steel,2013-06-14,Action,225000000.0,668000000.0
Man on a Ledge,2012-01-27,Action,42000000.0,46200000.0
Max,2015-06-26,Adventure,20000000.0,44000000.0
Maze Runner: The Scorch Trials,2015-09-18,Sci-Fi,61000000.0,312300000.0
Me and Earl and the Dying Girl,2015-01-25,Comedy,8000000.0,9100000.0
Me Before You,2016-06-03,Drama,20000000.0,196200000.0
Mechanic: Resurrection,2016-08-26,Action,40000000.0,7500000.0
Men in Black 3,2012-05-25,Comedy,215000000.0,624000000.0
Midnight Special,2016-02-12,Sci-Fi,18000000.0,6200000.0
Miracles from Heaven,2016-03-16,Drama,13000000.0,73600000.0
Mirror Mirror,2012-03-30,Fantasy,85000000.0,183000000.0
Mission: Impossible – Rogue Nation,2015-07-23,Action,150000000.0,682300000.0
Moms' Night Out,2014-05-09,Religious,5000000.0,10500000.0
Money Monster,2016-05-13,Drama,27000000.0,93100000.0
Monster Hunt,2016-01-22,Action,56000000.0,385200000.0
Moonrise Kingdom ₪,2012-05-25,Comedy,16000000.0,68300000.0
Mortdecai,2015-01-23,Action,60000000.0,47000000.0
Mother's Day,2016-04-13,Comedy,25000000.0,43800000.0
Movie Title,,Genre,,
Mr. Peabody & Sherman,2014-02-07,Family,145000000.0,275700000.0
Mud,2013-04-26,Drama,10000000.0,32600000.0
Mustang,2015-05-19,Drama,1300000.0,4900000.0
My All American,2015-11-13,Biography,20000000.0,2200000.0
My Big Fat Greek Wedding 2,2016-03-25,Romance,18000000.0,88900000.0
Need for Speed,2014-03-12,Action,65000000.0,203300000.0
Neighbors,2014-03-08,Comedy,18000000.0,270700000.0
Neighbors 2: Sorority Rising,2016-05-20,Comedy,35000000.0,107900000.0
Nerve,2016-07-27,Thriller,20000000.0,47600000.0
Night at the Museum: Secret of the Tomb,2014-12-11,Comedy,127000000.0,363200000.0
Nightcrawler,2014-09-05,Drama,8500000.0,50300000.0
Nine Lives,2016-08-05,Comedy,30000000.0,19100000.0
No Escape,2015-08-17,Action,5000000.0,54400000.0
